lang	label	rule	shortcuts
es	R14	Wikipedia:Lo que Wikipedia no es	['Wikipedia:Lo que Wikipedia no es', 'Wikipedia:NO', 'Wikipedia:NOES', 'Wikipedia:LWNE', 'Wikipedia:LQWNE', 'Wikipedia:NOFORO', 'Wikipedia:NEF', 'Wikipedia:NOALMACÉN', 'Wikipedia:NOALMACEN', 'Wikipedia:NOREDSOCIAL', 'Wikipedia:NONOTICIAS', 'Wikipedia:SINCRITERIO', 'Wikipedia:CRISTAL', 'Wikipedia:BOLA', 'Wikipedia:NOCENSURADA', 'Wikipedia:CAMPODEBATALLA', 'Wikipedia:NOANARQUÍA', 'Wikipedia:NODEMOCRACIA', 'Wikipedia:NOBUROCRACIA', 'Wikipedia:NOESOBLIGADA', 'WP:Lo que Wikipedia no es', 'WP:NO', 'WP:NOES', 'WP:LWNE', 'WP:LQWNE', 'WP:NOFORO', 'WP:NEF', 'WP:NOALMACÉN', 'WP:NOALMACEN', 'WP:NOREDSOCIAL', 'WP:NONOTICIAS', 'WP:SINCRITERIO', 'WP:CRISTAL', 'WP:BOLA', 'WP:NOCENSURADA', 'WP:CAMPODEBATALLA', 'WP:NOANARQUÍA', 'WP:NODEMOCRACIA', 'WP:NOBUROCRACIA', 'WP:NOESOBLIGADA']	
es	R15	Wikipedia:No sabotees Wikipedia para respaldar tus argumentos	['Wikipedia:No sabotees Wikipedia para respaldar tus argumentos', 'Wikipedia:NSW', 'Wikipedia:S', 'Wikipedia:Sabotaje', 'WP:No sabotees Wikipedia para respaldar tus argumentos', 'WP:NSW', 'WP:S', 'WP:Sabotaje']	
fr	R1	Wikipédia:Principes fondateurs	['Wikipédia:Principes fondateurs', 'Wikipédia:PF', 'WP:Principes fondateurs', 'WP:PF']	
fr	R2	Wikipédia:Interprétation créative des règles	['Wikipédia:Interprétation créative des règles', 'Wikipédia:ICR', 'Wikipédia:IAR', 'Wikipédia:PF5', 'Wikipédia:5e PF', 'WP:Interprétation créative des règles', 'WP:ICR', 'WP:IAR', 'WP:PF5', 'WP:5e PF']	
fr	R3	Wikipédia:Neutralité de point de vue	['Wikipédia:Neutralité de point de vue', 'Wikipédia:NdPV', 'Wikipédia:NPdV', 'Wikipédia:PDV', 'Wikipédia:NPOV', 'Wikipédia:POV', 'Wikipédia:PF2', 'Wikipédia:POVNAMING', 'Wikipédia:STRUCTURE', 'Wikipédia:UNDUE', 'WP:Neutralité de point de vue', 'WP:NdPV', 'WP:NPdV', 'WP:PDV', 'WP:NPOV', 'WP:POV', 'WP:PF2', 'WP:POVNAMING', 'WP:STRUCTURE', 'WP:UNDUE']	
fr	R4	Wikipédia:Travaux inédits	['Wikipédia:Travaux inédits', 'Wikipédia:TI', 'Wikipédia:SYN', 'WP:Travaux inédits', 'WP:TI', 'WP:SYN']	
fr	R5	Wikipédia:Vérifiabilité	['Wikipédia:Vérifiabilité', 'Wikipédia:V', 'Wikipédia:VER', 'WP:Vérifiabilité', 'WP:V', 'WP:VER']	
fr	R6	Wikipédia:Biographie de personne vivante	['Wikipédia:Biographie de personne vivante', 'Wikipédia:BPV', 'Wikipédia:BLP', 'Wikipédia:BPV#Date de naissance', 'Wikipédia:SUR SOI', 'WP:Biographie de personne vivante', 'WP:BPV', 'WP:BLP', 'WP:BPV#Date de naissance', 'WP:SUR SOI']	
fr	R7	Wikipédia:Supposez la bonne foi	['Wikipédia:Supposez la bonne foi', 'Wikipédia:SBF', 'Wikipédia:FOI', 'WP:Supposez la bonne foi', 'WP:SBF', 'WP:FOI']	
fr	R8	Wikipédia:N'hésitez pas !	["Wikipédia:N'hésitez pas !", 'Wikipédia:NHP', 'Wikipédia:OSEZ', 'Wikipédia:BOLD', "WP:N'hésitez pas !", 'WP:NHP', 'WP:OSEZ', 'WP:BOLD']	
fr	R9	Wikipédia:Citez vos sources	['Wikipédia:Citez vos sources', 'Wikipédia:CITE', 'Wikipédia:CVS', 'Wikipédia:REF', 'Wikipédia:SOURCES', 'Wikipédia:CVSPRAT', 'Wikipédia:CVSREF', 'Wikipédia:SQ', 'Wikipédia:QS', 'Wikipédia:CVSQ', 'Wikipédia:SPR', 'Wikipédia:SAO', 'Wikipédia:SPF', 'Wikipédia:WPS', 'WP:Citez vos sources', 'WP:CITE', 'WP:CVS', 'WP:REF', 'WP:SOURCES', 'WP:CVSPRAT', 'WP:CVSREF', 'WP:SQ', 'WP:QS', 'WP:CVSQ', 'WP:SPR', 'WP:SAO', 'WP:SPF', 'WP:WPS']	
fr	R10	Wikipédia:Étiquette	['Wikipédia:Étiquette', 'Wikipédia:ET', 'WP:Étiquette', 'WP:ET']	
fr	R11	Wikipédia:Pas d'attaque personnelle	["Wikipédia:Pas d'attaque personnelle", 'Wikipédia:PAP', 'Wikipédia:WAT', "WP:Pas d'attaque personnelle", 'WP:PAP', 'WP:WAT']	
fr	R12	Wikipédia:Notoriété	['Wikipédia:Notoriété', 'Wikipédia:N', 'Wikipédia:NG', 'Wikipédia:CGN', 'Wikipédia:CGNMO', 'Wikipédia:CGNPUB', 'Wikipédia:ROLE', 'Wikipédia:NCONT', 'Wikipédia:NPREUV', 'Wikipédia:PERNOT', 'Wikipédia:NOTPER', 'Wikipédia:CGN?', 'Wikipédia:NOTAB?', 'Wikipédia:PUB', 'Wikipédia:NLIST', 'WP:Notoriété', 'WP:N', 'WP:NG', 'WP:CGN', 'WP:CGNMO', 'WP:CGNPUB', 'WP:ROLE', 'WP:NCONT', 'WP:NPREUV', 'WP:PERNOT', 'WP:NOTPER', 'WP:CGN?', 'WP:NOTAB?', 'WP:PUB', 'WP:NLIST']	
fr	R13	Wikipédia:Ne mordez pas les nouveaux	['Wikipédia:Ne mordez pas les nouveaux', 'Wikipédia:MORDRE', 'Wikipédia:NMPN', 'Wikipédia:MORD', 'WP:Ne mordez pas les nouveaux', 'WP:MORDRE', 'WP:NMPN', 'WP:MORD']	
fr	R14	Wikipédia:Ce que Wikipédia n'est pas	["Wikipédia:Ce que Wikipédia n'est pas", 'Wikipédia:NOT', 'Wikipédia:CQWNP', 'Wikipédia:FORUM', 'Wikipédia:DICO', 'Wikipédia:NOTDIC', 'Wikipédia:BATAILLE', 'Wikipédia:TRIBUNE', 'Wikipédia:NOPUB', 'Wikipédia:NOTNEWS', 'Wikipédia:DIRECT', 'Wikipédia:Actualité', 'Wikipédia:CRISTAL', 'Wikipédia:ANNUAIRE', 'Wikipédia:BdD', 'Wikipédia:BASE', 'Wikipédia:NOTGP', 'Wikipédia:NOTIMG', 'Wikipédia:NOTMEM', "WP:Ce que Wikipédia n'est pas", 'WP:NOT', 'WP:CQWNP', 'WP:FORUM', 'WP:DICO', 'WP:NOTDIC', 'WP:BATAILLE', 'WP:TRIBUNE', 'WP:NOPUB', 'WP:NOTNEWS', 'WP:DIRECT', 'WP:Actualité', 'WP:CRISTAL', 'WP:ANNUAIRE', 'WP:BdD', 'WP:BASE', 'WP:NOTGP', 'WP:NOTIMG', 'WP:NOTMEM']	
fr	R15	Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle	['Wikipédia:Ne pas désorganiser Wikipédia pour une argumentation personnelle', 'Wikipédia:POINT', 'Wikipédia:MOI', 'WP:Ne pas désorganiser Wikipédia pour une argumentation personnelle', 'WP:POINT', 'WP:MOI']	
ja	R1	Wikipedia:五本の柱	['Wikipedia:五本の柱', 'Wikipedia:5P1', 'Wikipedia:5P2', 'Wikipedia:5P3', 'Wikipedia:5P4', 'Wikipedia:5P5', 'WP:五本の柱', 'WP:5P1', 'WP:5P2', 'WP:5P3', 'WP:5P4', 'WP:5P5']	
ja	R2	Wikipedia:ルールすべてを無視しなさい	['Wikipedia:ルールすべてを無視しなさい', 'Wikipedia:IAR', 'Wikipedia:IGNORE', 'WP:ルールすべてを無視しなさい', 'WP:IAR', 'WP:IGNORE']	
ja	R3	Wikipedia:中立的な観点	['Wikipedia:中立的な観点', 'Wikipedia:NPOV', 'Wikipedia:NPV', 'Wikipedia:POV', 'Wikipedia:YESPOV', 'Wikipedia:WEIGHT', 'Wikipedia:DUE', 'Wikipedia:UNDUE', 'Wikipedia:POVNAMING', 'Wikipedia:SUBSTANTIATE', 'Wikipedia:ATTRIBUTEPOV', 'Wikipedia:INTEXT', 'WP:中立的な観点', 'WP:NPOV', 'WP:NPV', 'WP:POV', 'WP:YESPOV', 'WP:WEIGHT', 'WP:DUE', 'WP:UNDUE', 'WP:POVNAMING', 'WP:SUBSTANTIATE', 'WP:ATTRIBUTEPOV', 'WP:INTEXT']	
ja	R4	Wikipedia:独自研究は載せない	['Wikipedia:独自研究は載せない', 'Wikipedia:NOR', 'Wikipedia:OR', 'Wikipedia:PSTS', 'Wikipedia:SYN', 'Wikipedia:SYNTHESIS', 'Wikipedia:OI', 'WP:独自研究は載せない', 'WP:NOR', 'WP:OR', 'WP:PSTS', 'WP:SYN', 'WP:SYNTHESIS', 'WP:OI']	
ja	R5	Wikipedia:検証可能性	['Wikipedia:検証可能性', 'Wikipedia:V', 'Wikipedia:VERIFY', 'Wikipedia:BURDEN', 'Wikipedia:UNSOURCED', 'Wikipedia:SOURCES', 'Wikipedia:NEWSBLOG', 'Wikipedia:V#NR', 'Wikipedia:NOTRELIABLE', 'Wikipedia:NOTRS', 'Wikipedia:QS', 'Wikipedia:TVWATCH', 'Wikipedia:RADIOLISTEN', 'Wikipedia:V#SP', 'Wikipedia:SPS', 'Wikipedia:SELFPUBLISH', 'Wikipedia:BLOGS', 'Wikipedia:V#OS', 'Wikipedia:ABOUTSELF', 'Wikipedia:SELFPUB', 'Wikipedia:TWITTER', 'Wikipedia:FACEBOOK', 'Wikipedia:INSTAGRAM', 'Wikipedia:SOCIALMEDIA', 'Wikipedia:CIRCULAR', 'Wikipedia:PAYWALL', 'Wikipedia:SOURCEACCESS', 'WP:検証可能性', 'WP:V', 'WP:VERIFY', 'WP:BURDEN', 'WP:UNSOURCED', 'WP:SOURCES', 'WP:NEWSBLOG', 'WP:V#NR', 'WP:NOTRELIABLE', 'WP:NOTRS', 'WP:QS', 'WP:TVWATCH', 'WP:RADIOLISTEN', 'WP:V#SP', 'WP:SPS', 'WP:SELFPUBLISH', 'WP:BLOGS', 'WP:V#OS', 'WP:ABOUTSELF', 'WP:SELFPUB', 'WP:TWITTER', 'WP:FACEBOOK', 'WP:INSTAGRAM', 'WP:SOCIALMEDIA', 'WP:CIRCULAR', 'WP:PAYWALL', 'WP:SOURCEACCESS']	
ja	R6	Wikipedia:存命人物の伝記	['Wikipedia:存命人物の伝記', 'Wikipedia:BLP', 'Wikipedia:LIVING', 'Wikipedia:LIVE', 'Wikipedia:BLPSTYLE', 'Wikipedia:BLPREMOVE', 'Wikipedia:BLPSOURCES', 'Wikipedia:BLPSELFPUB', 'Wikipedia:WELLKNOWN', 'Wikipedia:NPF', 'Wikipedia:BLPPRIVACY', 'Wikipedia:BLPGOSSIP', 'Wikipedia:BLPCAT', 'Wikipedia:BLPEDIT', 'WP:存命人物の伝記', 'WP:BLP', 'WP:LIVING', 'WP:LIVE', 'WP:BLPSTYLE', 'WP:BLPREMOVE', 'WP:BLPSOURCES', 'WP:BLPSELFPUB', 'WP:WELLKNOWN', 'WP:NPF', 'WP:BLPPRIVACY', 'WP:BLPGOSSIP', 'WP:BLPCAT', 'WP:BLPEDIT']	
ja	R7	Wikipedia:善意にとる	['Wikipedia:善意にとる', 'Wikipedia:AGF', 'Wikipedia:ASG', 'Wikipedia:FAITH', 'Wikipedia:BONAFIDE', 'Wikipedia:DGF', 'Wikipedia:AOBF', 'WP:善意にとる', 'WP:AGF', 'WP:ASG', 'WP:FAITH', 'WP:BONAFIDE', 'WP:DGF', 'WP:AOBF']	
ja	R8	Wikipedia:ページの編集は大胆に	['Wikipedia:ページの編集は大胆に', 'Wikipedia:BB', 'Wikipedia:BOLD', 'Wikipedia:Be bold', 'WP:ページの編集は大胆に', 'WP:BB', 'WP:BOLD', 'WP:Be bold']	
ja	R9	Wikipedia:出典を明記する	['Wikipedia:出典を明記する', 'Wikipedia:CITE', 'Wikipedia:CS', 'Wikipedia:REF', 'Wikipedia:INCITE', 'Wikipedia:GENREF', 'Wikipedia:CITEHOW', 'Wikipedia:WEBREF', 'Wikipedia:DEADREF', 'WP:出典を明記する', 'WP:CITE', 'WP:CS', 'WP:REF', 'WP:INCITE', 'WP:GENREF', 'WP:CITEHOW', 'WP:WEBREF', 'WP:DEADREF']	
ja	R10	Wikipedia:エチケット	['Wikipedia:エチケット', 'Wikipedia:EQ', 'Wikipedia:ETIQ', 'Wikipedia:WQ', 'Wikipedia:WQT', 'WP:エチケット', 'WP:EQ', 'WP:ETIQ', 'WP:WQ', 'WP:WQT']	
ja	R11	Wikipedia:個人攻撃はしない	['Wikipedia:個人攻撃はしない', 'Wikipedia:NPA', 'Wikipedia:ATTACK', 'Wikipedia:PA', 'Wikipedia:MYOB', 'Wikipedia:NPA#WHATIS', 'WP:個人攻撃はしない', 'WP:NPA', 'WP:ATTACK', 'WP:PA', 'WP:MYOB', 'WP:NPA#WHATIS']	
ja	R12	Wikipedia:独立記事作成の目安	['Wikipedia:独立記事作成の目安', 'Wikipedia:N', 'Wikipedia:NN', 'Wikipedia:NOTE', 'Wikipedia:GNG', 'Wikipedia:GNG/IOTS', 'Wikipedia:GNG/R', 'Wikipedia:GNG/S', 'Wikipedia:GNG/SC', 'Wikipedia:GNG/P', 'Wikipedia:NRVE', 'Wikipedia:N#NR', 'Wikipedia:N#TEMP', 'Wikipedia:NTEMP', 'Wikipedia:FAILN', 'WP:独立記事作成の目安', 'WP:N', 'WP:NN', 'WP:NOTE', 'WP:GNG', 'WP:GNG/IOTS', 'WP:GNG/R', 'WP:GNG/S', 'WP:GNG/SC', 'WP:GNG/P', 'WP:NRVE', 'WP:N#NR', 'WP:N#TEMP', 'WP:NTEMP', 'WP:FAILN']	
ja	R13	Wikipedia:新規参加者を苛めないでください	['Wikipedia:新規参加者を苛めないでください', 'Wikipedia:BITE', 'WP:新規参加者を苛めないでください', 'WP:BITE']	
ja	R14	Wikipedia:ウィキペディアは何ではないか	['Wikipedia:ウィキペディアは何ではないか', 'Wikipedia:!', 'Wikipedia:WIN', 'Wikipedia:WWIN', 'Wikipedia:NOT', 'Wikipedia:NOTPAPER', 'Wikipedia:PAPER', 'Wikipedia:INKLESS', 'Wikipedia:NOTEVERYTHING', 'Wikipedia:NOTDICDEF', 'Wikipedia:NOTDICTIONARY', 'Wikipedia:NOT#DICT', 'Wikipedia:NOT#DICDEF', 'Wikipedia:NOT#DICTIONARY', 'Wikipedia:NOT#OR', 'Wikipedia:NOT#ESSAY', 'Wikipedia:NOTESSAY', 'Wikipedia:FORUM', 'Wikipedia:NOTFORUM', 'Wikipedia:NOT#CHAT', 'Wikipedia:NOTADVERTISING', 'Wikipedia:NOTADVOCATE', 'Wikipedia:NOTGOSSIP', 'Wikipedia:NOTOPINION', 'Wikipedia:NOTSCANDAL', 'Wikipedia:NOTSOAPBOX', 'Wikipedia:NOTPROMOTION', 'Wikipedia:PROMOTION', 'Wikipedia:PROMO', 'Wikipedia:PLUG', 'Wikipedia:SOAP', 'Wikipedia:SOAPBOX', 'Wikipedia:NOT#SOAP', 'Wikipedia:NOTLINK', 'Wikipedia:NOTMIRROR', 'Wikipedia:NOTREPOSITORY', 'Wikipedia:LINKFARM', 'Wikipedia:NOTIMAGE', 'Wikipedia:NOTGALLERY', 'Wikipedia:NOTSOCIAL', 'Wikipedia:NOTSOCIALNETWORK', 'Wikipedia:NOTWEBHOST', 'Wikipedia:NOTHOSTING', 'Wikipedia:NOTBLOG', 'Wikipedia:NOTMYSPACE', 'Wikipedia:NOTTWITTER', 'Wikipedia:NOTFACEBOOK', 'Wikipedia:NOTINSTAGRAM', 'Wikipedia:NOTLINKEDIN', 'Wikipedia:NOTMEMORIAL', 'Wikipedia:NOTRESUME', 'Wikipedia:NOTCV', 'Wikipedia:NOTSTORAGE', 'Wikipedia:NOTCATALOG', 'Wikipedia:NOTCATALOGUE', 'Wikipedia:NOTDIR', 'Wikipedia:NOTDIRECTORY', 'Wikipedia:NOTGENEALOGY', 'Wikipedia:NOTRADIOGUIDE', 'Wikipedia:NOTTVGUIDE', 'Wikipedia:NOPRICES', 'Wikipedia:NOTWHITE', 'Wikipedia:NOTYELLOW', 'Wikipedia:NOTADVICE', 'Wikipedia:NOTGUIDE', 'Wikipedia:NOTFAQ', 'Wikipedia:NOTHOWTO', 'Wikipedia:NOTMANUAL', 'Wikipedia:NOTTRAVEL', 'Wikipedia:NOTJOURNAL', 'Wikipedia:NOTCOOKBOOK', 'Wikipedia:NOTRECIPE', 'Wikipedia:NOTTEXTBOOK', 'Wikipedia:NOT#CASE', 'Wikipedia:NOT#FAQ', 'Wikipedia:GAMEGUIDE', 'Wikipedia:BALL', 'Wikipedia:CBALL', 'Wikipedia:CRYSTAL', 'Wikipedia:CRYSTALBALL', 'Wikipedia:FUTURE', 'Wikipedia:NOTCRYSTAL', 'Wikipedia:NOTCRYSTALBALL', 'Wikipedia:RUMOUR', 'Wikipedia:SPECULATION', 'Wikipedia:NOTNEWS', 'Wikipedia:NOT#NEWS', 'Wikipedia:NOTNEWSPAPER', 'Wikipedia:NOT#NEWSPAPER', 'Wikipedia:NOT#JOURNALISM', 'Wikipedia:NOT#NEWSREPORTS', 'Wikipedia:NOTDIARY', 'Wikipedia:NOT#DIARY', 'Wikipedia:IINFO', 'Wikipedia:INDISCRIMINATE', 'Wikipedia:NOTCHANGELOG', 'Wikipedia:NOTLYRICS', 'Wikipedia:NOT#LYRICS', 'Wikipedia:NOTSTATS', 'Wikipedia:NOT#STATS', 'Wikipedia:PLOT', 'Wikipedia:NOTPLOT', 'Wikipedia:RAWDATA', 'Wikipedia:CENSOR', 'Wikipedia:CENSORED', 'Wikipedia:UNCENSORED', 'Wikipedia:NOTCENSORED', 'Wikipedia:ANARCHY', 'Wikipedia:NOTANARCHY', 'Wikipedia:NOTFREESPEECH', 'Wikipedia:DEM', 'Wikipedia:DEMOCRACY', 'Wikipedia:NOTDEMOCRACY', 'Wikipedia:NOT#DEM', 'Wikipedia:WIKINOTVOTE', 'Wikipedia:BURO', 'Wikipedia:NOTBUREAUCRACY', 'Wikipedia:BUREAU', 'Wikipedia:NOTBUREAU', 'Wikipedia:NOTSTATUTE', 'Wikipedia:NOTLAW', 'Wikipedia:NOTCOURT', 'Wikipedia:BATTLEGROUND', 'Wikipedia:NOTBATTLE', 'Wikipedia:NOTBATTLEGROUND', 'Wikipedia:BATTLE', 'Wikipedia:NOTFACTIONS', 'Wikipedia:CHOICE', 'Wikipedia:NOTCOMPULSORY', 'Wikipedia:NOTREQUIRED', 'Wikipedia:REQUIRED', 'Wikipedia:BADIDEA', 'Wikipedia:NOTSTUPID', 'Wikipedia:WHATISTOBEDONE', 'Wikipedia:!GIMON', 'WP:ウィキペディアは何ではないか', 'WP:!', 'WP:WIN', 'WP:WWIN', 'WP:NOT', 'WP:NOTPAPER', 'WP:PAPER', 'WP:INKLESS', 'WP:NOTEVERYTHING', 'WP:NOTDICDEF', 'WP:NOTDICTIONARY', 'WP:NOT#DICT', 'WP:NOT#DICDEF', 'WP:NOT#DICTIONARY', 'WP:NOT#OR', 'WP:NOT#ESSAY', 'WP:NOTESSAY', 'WP:FORUM', 'WP:NOTFORUM', 'WP:NOT#CHAT', 'WP:NOTADVERTISING', 'WP:NOTADVOCATE', 'WP:NOTGOSSIP', 'WP:NOTOPINION', 'WP:NOTSCANDAL', 'WP:NOTSOAPBOX', 'WP:NOTPROMOTION', 'WP:PROMOTION', 'WP:PROMO', 'WP:PLUG', 'WP:SOAP', 'WP:SOAPBOX', 'WP:NOT#SOAP', 'WP:NOTLINK', 'WP:NOTMIRROR', 'WP:NOTREPOSITORY', 'WP:LINKFARM', 'WP:NOTIMAGE', 'WP:NOTGALLERY', 'WP:NOTSOCIAL', 'WP:NOTSOCIALNETWORK', 'WP:NOTWEBHOST', 'WP:NOTHOSTING', 'WP:NOTBLOG', 'WP:NOTMYSPACE', 'WP:NOTTWITTER', 'WP:NOTFACEBOOK', 'WP:NOTINSTAGRAM', 'WP:NOTLINKEDIN', 'WP:NOTMEMORIAL', 'WP:NOTRESUME', 'WP:NOTCV', 'WP:NOTSTORAGE', 'WP:NOTCATALOG', 'WP:NOTCATALOGUE', 'WP:NOTDIR', 'WP:NOTDIRECTORY', 'WP:NOTGENEALOGY', 'WP:NOTRADIOGUIDE', 'WP:NOTTVGUIDE', 'WP:NOPRICES', 'WP:NOTWHITE', 'WP:NOTYELLOW', 'WP:NOTADVICE', 'WP:NOTGUIDE', 'WP:NOTFAQ', 'WP:NOTHOWTO', 'WP:NOTMANUAL', 'WP:NOTTRAVEL', 'WP:NOTJOURNAL', 'WP:NOTCOOKBOOK', 'WP:NOTRECIPE', 'WP:NOTTEXTBOOK', 'WP:NOT#CASE', 'WP:NOT#FAQ', 'WP:GAMEGUIDE', 'WP:BALL', 'WP:CBALL', 'WP:CRYSTAL', 'WP:CRYSTALBALL', 'WP:FUTURE', 'WP:NOTCRYSTAL', 'WP:NOTCRYSTALBALL', 'WP:RUMOUR', 'WP:SPECULATION', 'WP:NOTNEWS', 'WP:NOT#NEWS', 'WP:NOTNEWSPAPER', 'WP:NOT#NEWSPAPER', 'WP:NOT#JOURNALISM', 'WP:NOT#NEWSREPORTS', 'WP:NOTDIARY', 'WP:NOT#DIARY', 'WP:IINFO', 'WP:INDISCRIMINATE', 'WP:NOTCHANGELOG', 'WP:NOTLYRICS', 'WP:NOT#LYRICS', 'WP:NOTSTATS', 'WP:NOT#STATS', 'WP:PLOT', 'WP:NOTPLOT', 'WP:RAWDATA', 'WP:CENSOR', 'WP:CENSORED', 'WP:UNCENSORED', 'WP:NOTCENSORED', 'WP:ANARCHY', 'WP:NOTANARCHY', 'WP:NOTFREESPEECH', 'WP:DEM', 'WP:DEMOCRACY', 'WP:NOTDEMOCRACY', 'WP:NOT#DEM', 'WP:WIKINOTVOTE', 'WP:BURO', 'WP:NOTBUREAUCRACY', 'WP:BUREAU', 'WP:NOTBUREAU', 'WP:NOTSTATUTE', 'WP:NOTLAW', 'WP:NOTCOURT', 'WP:BATTLEGROUND', 'WP:NOTBATTLE', 'WP:NOTBATTLEGROUND', 'WP:BATTLE', 'WP:NOTFACTIONS', 'WP:CHOICE', 'WP:NOTCOMPULSORY', 'WP:NOTREQUIRED', 'WP:REQUIRED', 'WP:BADIDEA', 'WP:NOTSTUPID', 'WP:WHATISTOBEDONE', 'WP:!GIMON']	
ja	R15	Wikipedia:腕ずくで解決しようとしない	['Wikipedia:腕ずくで解決しようとしない', 'Wikipedia:POINT', 'Wikipedia:SPEED', 'Wikipedia:悪用', 'Wikipedia:IDIDNTHEARTHAT', 'Wikipedia:DISRUPTPOINT', 'WP:腕ずくで解決しようとしない', 'WP:POINT', 'WP:SPEED', 'WP:悪用', 'WP:IDIDNTHEARTHAT', 'WP:DISRUPTPOINT']	
